	Funkce	Typ	Povel Read	Powel Write	Adsress	Sample	Scale	Offset	Result	Unit	Funkce
Read Coils											
	Sleep mode	RW Status	Read Coils	Write Single Coil	0	FALSE			FALSE	Bool	1 - Zapne 0 - vypne
	Boost short	RW Status	Read Coils	Write Single Coil	1	FALSE			FALSE	Bool	1 - Zapne 0 - vypne Boost, čtení 1 Boost short dle konfikurace
	Boost long	RW Status	Read Coils	Write Single Coil	2	FALSE			FALSE	Bool	1 - Zapne 0 - vypne Boost, čtení 1 Boost long dle konfikurace
	Holiday mode	RW Status	Read Coils	Write Single Coil	3	FALSE			FALSE	Bool	1 - Zapne 0 - vypne
	Circulation	RW Status	Read Coils	Write Single Coil	4	FALSE			FALSE	Bool	1 - Zapne 0 - vypne
	Fireplace option	RW Status	Read Coils	Write Single Coil	5	FALSE			FALSE	Bool	1 - Zapne 0 - vypne
	Silent option	RW Status	Read Coils	Write Single Coil	6	FALSE			FALSE	Bool	1 - Zapne 0 - vypne
	Inteligent mode	RW Status	Read Coils	Write Single Coil	7	TRUE			TRUE	Bool	1 - Zapnuto 0 - vypnuto, zápis 1 zapne
	Scheduler mode	RW Status	Read Coils	Write Single Coil	8	FALSE			FALSE	Bool	1 - Zapnuto 0 - vypnuto, zápis 1 zapne
	Manual mode	RW Status	Read Coils	Write Single Coil	9	FALSE			FALSE	Bool	1 - Zapnuto 0 - vypnuto, zápis 1 zapne
	Dehum mode	RW Status	Read Coils	Write Single Coil	10	FALSE			FALSE	Bool	1 - Jednotka v módu odvlhčování, 0 - jednotka v entalpickém
	Safe dehum	RW Status	Read Coils	Write Single Coil	11	FALSE			FALSE	Bool	V módu odvlhčování při teplotě pod 0°C 1 - zapnut jen odtah. 0 - jednotka přechází do entalpického módu
	PID drive	RW Status	Read Coils	Write Single Coil	12	FALSE			FALSE	Bool	V módu odvlhčování a inteligentním módu se řídí : 1 - dle vnitřní vlhkosti 0 - dle CO2
	Bypass regime	RW Status	Read Coils	Write Single Coil	13	TRUE			TRUE	Bool	V bypass modu je jednotka 1 - v inteligentním režimu, 0 - běží na bypass flow
	Bypass remove	RW Status	Read Coils	Write Single Coil	14	FALSE			FALSE	Bool	V podmínkách pro bypass 1 - nebude 0 - bude spuštěn
	Week noAct regime	RW Status	Read Coils	Write Single Coil	15	FALSE			FALSE	Bool	V týdenním módu v neaktívním stavu jednotka 1 - zastavena, 0 - běží na minimal
	Week active regime	RW Status	Read Coils	Write Single Coil	16	FALSE			FALSE	Bool	V týdenním módu v aktívním stavu jednotka 1 - v inteligent. módu, 0 - běží na nomina
	Bypass mode	R status	Read Coils		17	FALSE			FALSE	Bool	1 - Bypass aktivní 0 - Bypass není zapnut
	Week mode active	R status	Read Coils		18	FALSE			FALSE	Bool	Je-li jednotka v scheduleru: 1 - Aktivní, 0 - Neaktívní
	Sensor temperature outside in	R status	Read Coils		19	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor temperature inside in	R status	Read Coils		20	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor temperarure inside out	R status	Read Coils		21	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor temperature outside out	R status	Read Coils		22	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor humidity outside in	R status	Read Coils		23	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor humidity inside in	R status	Read Coils		24	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor humidity inside out	R status	Read Coils		25	FALSE			FALSE	Bool	1 - Error, 0 - OK
	Sensor humidity outside out	R status	Read Coils		26	FALSE			FALSE	Bool	1 - Error, 0 - OK
